"","Date","Open","High","Low","Settle","Volume","Prev. Day Open Interest"
"531",2014-08-21,99.82,99.82,99.82,99.82,0,3800
"532",2014-08-20,99.825,99.825,99.825,99.825,0,3800
"533",2014-08-19,99.82,99.82,99.82,99.82,0,3800
"534",2014-08-18,99.815,99.815,99.815,99.815,0,3800
"535",2014-08-15,99.815,99.815,99.815,99.81,16,3792
"536",2014-08-14,99.815,99.815,99.815,99.815,0,3792
"537",2014-08-13,99.81,99.81,99.81,99.81,0,3792
"538",2014-08-12,99.805,99.805,99.805,99.805,0,3792
"539",2014-08-11,99.805,99.805,99.805,99.805,0,3792
"540",2014-08-08,99.8,99.8,99.8,99.8,0,3792
"541",2014-08-07,99.8,99.8,99.8,99.8,25,3786
"542",2014-08-06,99.8,99.8,99.8,99.8,0,3786
"543",2014-08-05,99.795,99.795,99.795,99.795,0,3786
"544",2014-08-04,99.79,99.79,99.79,99.79,0,3786
"545",2014-08-01,99.79,99.79,99.79,99.79,0,3786
"546",2014-07-31,99.79,99.79,99.79,99.79,0,3786
"547",2014-07-30,99.79,99.79,99.79,99.79,0,3786
"548",2014-07-29,99.79,99.79,99.79,99.79,5,3781
"549",2014-07-28,99.78,99.78,99.78,99.79,1,3782
"550",2014-07-25,99.78,99.78,99.78,99.785,25,3757
"551",2014-07-24,99.78,99.78,99.78,99.78,0,3757
"552",2014-07-23,99.78,99.78,99.78,99.78,0,3757
"553",2014-07-22,99.79,99.79,99.79,99.78,500,3757
"554",2014-07-21,99.795,99.795,99.795,99.795,0,3757
"555",2014-07-18,99.8,99.8,99.8,99.8,0,3757
"556",2014-07-17,99.805,99.805,99.805,99.805,0,3757
"557",2014-07-16,99.805,99.805,99.805,99.805,0,3757
"558",2014-07-15,99.805,99.805,99.805,99.805,0,3757
"559",2014-07-14,99.805,99.805,99.805,99.805,0,3757
"560",2014-07-11,99.81,99.81,99.81,99.81,0,3757
"561",2014-07-10,99.81,99.81,99.81,99.81,6,3763
"562",2014-07-09,99.82,99.82,99.815,99.815,58,3763
"563",2014-07-08,99.82,99.82,99.82,99.82,0,3763
"564",2014-07-07,99.825,99.825,99.825,99.825,0,3763
"565",2014-07-04,99.825,99.825,99.825,99.825,0,3767
"566",2014-07-03,99.82,99.82,99.82,99.825,16,3755
"567",2014-07-02,99.825,99.825,99.825,99.825,0,3755
"568",2014-07-01,99.825,99.825,99.825,99.83,25,3780
"569",2014-06-30,99.82,99.82,99.82,99.82,0,3780
"570",2014-06-27,99.825,99.825,99.825,99.825,0,3780
"571",2014-06-26,99.825,99.825,99.825,99.825,0,3780
"572",2014-06-25,99.82,99.825,99.82,99.82,550,3781
"573",2014-06-24,99.81,99.81,99.81,99.815,40,3761
"574",2014-06-23,99.81,99.81,99.81,99.81,397,3944
"575",2014-06-20,99.81,99.81,99.81,99.81,0,3944
"576",2014-06-19,99.82,99.82,99.82,99.82,0,3944
"577",2014-06-18,99.82,99.82,99.81,99.815,65,3882
"578",2014-06-17,99.82,99.82,99.82,99.82,0,3882
"579",2014-06-16,99.835,99.835,99.835,99.835,4,3882
"580",2014-06-13,99.765,99.77,99.765,99.78,51,2526
"581",2014-06-12,99.765,99.765,99.765,99.765,49,2526
"582",2014-06-11,99.755,99.755,99.755,99.76,301,2225
"583",2014-06-10,99.75,99.75,99.745,99.75,323,1966
"584",2014-06-09,99.745,99.745,99.745,99.75,1,1967
"585",2014-06-06,99.77,99.77,99.75,99.755,1082,1728
"586",2014-06-05,99.765,99.765,99.755,99.775,148,1626
"587",2014-06-04,99.755,99.755,99.755,99.76,2,1626
"588",2014-06-03,99.745,99.75,99.745,99.75,121,1531
"589",2014-06-02,99.74,99.75,99.74,99.75,408,1652
